code,title,prerequisite,prerequisite_link,dept_link
ACCT 5220,Data Analytics for Advisory Services,ACCT 6207,https://catalog.northeastern.edu/search/?P=ACCT%206207,/course-descriptions/acct/
ACCT 5230,Federal Tax Issues and Analysis,,,/course-descriptions/acct/
ACCT 5232,Estate and Gift Taxation,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 5232,Estate and Gift Taxation,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 5255,Forensic Accounting,,,/course-descriptions/acct/
ACCT 5256,Internal Auditing,,,/course-descriptions/acct/
ACCT 5976,Directed Study,,,/course-descriptions/acct/
ACCT 6200,Financial Reporting and Managerial Decision Making 1,,,/course-descriptions/acct/
ACCT 6201,Financial Reporting and Managerial Decision Making 2,ACCT 6200,https://catalog.northeastern.edu/search/?P=ACCT%206200,/course-descriptions/acct/
ACCT 6203,Business Entity Taxation,,,/course-descriptions/acct/
ACCT 6204,Financial Reporting for Integrated Multinational Enterprises,ACCT 6203,https://catalog.northeastern.edu/search/?P=ACCT%206203,/course-descriptions/acct/
ACCT 6205,Auditing in a Big Data Environment,,,/course-descriptions/acct/
ACCT 6207,Contemporary and Emerging Issues in Financial Reporting,,,/course-descriptions/acct/
ACCT 6216,Financial Reporting for Governments and Nonprofit Entities,,,/course-descriptions/acct/
ACCT 6217,"Corporate Governance, Ethics, and Financial Reporting",,,/course-descriptions/acct/
ACCT 6220,Corporate Financial Reporting and Decision Making 1,,,/course-descriptions/acct/
ACCT 6221,Corporate Financial Reporting and Decision Making 2,ACCT 6220,https://catalog.northeastern.edu/search/?P=ACCT%206220,/course-descriptions/acct/
ACCT 6222,Corporate and Governmental/Nonprofit Financial Reporting and Decision Making,ACCT 6221,https://catalog.northeastern.edu/search/?P=ACCT%206221,/course-descriptions/acct/
ACCT 6223,Audit and Other Assurance Services,ACCT 6221,https://catalog.northeastern.edu/search/?P=ACCT%206221,/course-descriptions/acct/
ACCT 6224,Taxation of Individuals and Business Entities,ACCT 6221,https://catalog.northeastern.edu/search/?P=ACCT%206221,/course-descriptions/acct/
ACCT 6226,Strategic Cost Management,ACCT 6221,https://catalog.northeastern.edu/search/?P=ACCT%206221,/course-descriptions/acct/
ACCT 6227,Accounting for Business Combinations,ACCT 6221,https://catalog.northeastern.edu/search/?P=ACCT%206221,/course-descriptions/acct/
ACCT 6228,Contemporary Issues in Accounting Theory,ACCT 6221,https://catalog.northeastern.edu/search/?P=ACCT%206221,/course-descriptions/acct/
ACCT 6229,Accounting for Foreign Currency Transactions,,,/course-descriptions/acct/
ACCT 6231,Corporations and Shareholders,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 6231,Corporations and Shareholders,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 6235,Partners and Partnerships,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 6235,Partners and Partnerships,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 6239,State and Local Taxation,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 6239,State and Local Taxation,ACCT 5230,https://catalog.northeastern.edu/search/?P=ACCT%205230,/course-descriptions/acct/
ACCT 6240,International Taxation: Inbound Transactions,ACCT 6231,https://catalog.northeastern.edu/search/?P=ACCT%206231,/course-descriptions/acct/
ACCT 6240,International Taxation: Inbound Transactions,ACCT 6235,https://catalog.northeastern.edu/search/?P=ACCT%206235,/course-descriptions/acct/
ACCT 6241,International Taxation: Outbound Transactions,ACCT 6231,https://catalog.northeastern.edu/search/?P=ACCT%206231,/course-descriptions/acct/
ACCT 6241,International Taxation: Outbound Transactions,ACCT 6235,https://catalog.northeastern.edu/search/?P=ACCT%206235,/course-descriptions/acct/
ACCT 6243,Advanced Flow-Through Entities,ACCT 6231,https://catalog.northeastern.edu/search/?P=ACCT%206231,/course-descriptions/acct/
ACCT 6243,Advanced Flow-Through Entities,ACCT 6235,https://catalog.northeastern.edu/search/?P=ACCT%206235,/course-descriptions/acct/
ACCT 6250,Financial Planning for Insurance,ACCT 5232,https://catalog.northeastern.edu/search/?P=ACCT%205232,/course-descriptions/acct/
ACCT 6253,Ethics in the Accounting Profession,,,/course-descriptions/acct/
ACCT 6254,Accounting Research and Communication,,,/course-descriptions/acct/
ACCT 6264,Planning for Estate Tax Issues,,,/course-descriptions/acct/
ACCT 6265,Tax Accounting for Income Taxes,,,/course-descriptions/acct/
ACCT 6272,Financial Statement Preparation and Analysis,,,/course-descriptions/acct/
ACCT 6273,Identifying Strategic Implications in Accounting Data,ACCT 6272,https://catalog.northeastern.edu/search/?P=ACCT%206272,/course-descriptions/acct/
ACCT 6280,Planning and Budgeting for Innovation,,,/course-descriptions/acct/
ACCT 6292,"Tax Research, Practice, and Ethics",,,/course-descriptions/acct/
ACCT 6318,Analyzing Accounting Data for Strategic Decision Making,,,/course-descriptions/acct/
ACCT 6962,Elective,,,/course-descriptions/acct/
ACCT 7976,Directed Study,,,/course-descriptions/acct/
ACC 1990,Elective,,,/course-descriptions/acc/
ACC 2100,Financial Accounting,,,/course-descriptions/acc/
ACC 2200,Managerial Accounting,,,/course-descriptions/acc/
ACC 2300,Cost Accounting,,,/course-descriptions/acc/
ACC 3201,Financial Reporting and Analysis 1,ACC 2100,https://catalog.northeastern.edu/search/?P=ACC%202100,/course-descriptions/acc/
ACC 3202,Financial Reporting and Analysis 2,ACC 3201,https://catalog.northeastern.edu/search/?P=ACC%203201,/course-descriptions/acc/
ACC 3330,Principles of Auditing,ACC 3202,https://catalog.northeastern.edu/search/?P=ACC%203202,/course-descriptions/acc/
ACC 3410,Principles of Taxation,ACC 3201,https://catalog.northeastern.edu/search/?P=ACC%203201,/course-descriptions/acc/
ACC 3990,Elective,,,/course-descriptions/acc/
ACC 4320,Financial Statement Analysis,ACC 3202,https://catalog.northeastern.edu/search/?P=ACC%203202,/course-descriptions/acc/
ACC 4320,Financial Statement Analysis,FIN 3310,https://catalog.northeastern.edu/search/?P=FIN%203310,/course-descriptions/acc/
ACC 4320,Financial Statement Analysis,ACC 3410,https://catalog.northeastern.edu/search/?P=ACC%203410,/course-descriptions/acc/
ACC 4410,Advanced Taxation,ACC 3410,https://catalog.northeastern.edu/search/?P=ACC%203410,/course-descriptions/acc/
ACC 4420,Advanced Accounting,ACC 3202,https://catalog.northeastern.edu/search/?P=ACC%203202,/course-descriptions/acc/
ACC 4420,Advanced Accounting,ACC 3410,https://catalog.northeastern.edu/search/?P=ACC%203410,/course-descriptions/acc/
ACC 4955,Project,,,/course-descriptions/acc/
ACC 4990,Elective,,,/course-descriptions/acc/
ACC 6210,Forensic Accounting Principles,,,/course-descriptions/acc/
ACC 6220,Dissecting Financial Statements,,,/course-descriptions/acc/
ACC 6230,Investigative Accounting and Fraud Examination,ACC 6210,https://catalog.northeastern.edu/search/?P=ACC%206210,/course-descriptions/acc/
ACC 6230,Investigative Accounting and Fraud Examination,ACC 6220,https://catalog.northeastern.edu/search/?P=ACC%206220,/course-descriptions/acc/
ACC 6240,Litigation Support,,,/course-descriptions/acc/
ACC 6962,Elective,,,/course-descriptions/acc/
AVM 1100,Fundamental Measurement Analysis,,,/course-descriptions/avm/
AVM 1150,Fundamentals of Manufacturing Systems,,,/course-descriptions/avm/
AVM 1200,"Fundamentals of Safety, Health, and Environmental Issues",,,/course-descriptions/avm/
AVM 1990,Elective,,,/course-descriptions/avm/
AVM 2200,Composite Materials and Applications,,,/course-descriptions/avm/
AVM 2250,Materials Performance and Applications,,,/course-descriptions/avm/
AVM 2990,Elective,,,/course-descriptions/avm/
AVM 3000,Materials Processing,,,/course-descriptions/avm/
AVM 3100,Nondestructive Testing,MET 3300,https://catalog.northeastern.edu/search/?P=MET%203300,/course-descriptions/avm/
AVM 3500,Business Operations and Supply Chain,MGT 2220,https://catalog.northeastern.edu/search/?P=MGT%202220,/course-descriptions/avm/
AVM 4100,Mechatronics,MET 2000,https://catalog.northeastern.edu/search/?P=MET%202000,/course-descriptions/avm/
AVM 4100,Mechatronics,EET 3100,https://catalog.northeastern.edu/search/?P=EET%203100,/course-descriptions/avm/
AVM 4100,Mechatronics,EET 3300,https://catalog.northeastern.edu/search/?P=EET%203300,/course-descriptions/avm/
AVM 4150,Automation 1,EET 3300,https://catalog.northeastern.edu/search/?P=EET%203300,/course-descriptions/avm/
AVM 4160,Automation 2,AVM 4150,https://catalog.northeastern.edu/search/?P=AVM%204150,/course-descriptions/avm/
AVM 4250,Hydraulics and Pneumatics,MTH 2105,https://catalog.northeastern.edu/search/?P=MTH%202105,/course-descriptions/avm/
AVM 4250,Hydraulics and Pneumatics,PHY 1200,https://catalog.northeastern.edu/search/?P=PHY%201200,/course-descriptions/avm/
AVM 4300,Advanced Manufacturing and Additive Processes,AVM 1150,https://catalog.northeastern.edu/search/?P=AVM%201150,/course-descriptions/avm/
AFAM 1135,John Coltrane and the History of Jazz in the United States,,,/course-descriptions/afam/
AFAM 1990,Elective,,,/course-descriptions/afam/
AFAM 2990,Elective,,,/course-descriptions/afam/
AFAM 3990,Elective,,,/course-descriptions/afam/
AFAM 4990,Elective,,,/course-descriptions/afam/
AFCS 1101,Introduction to African American and Africana Studies,,,/course-descriptions/afcs/
AFCS 1113,Black Popular Culture,,,/course-descriptions/afcs/
AFCS 1140,Introduction to African-American History,,,/course-descriptions/afcs/
AFCS 1225,"Gender, Race, and Medicine",,,/course-descriptions/afcs/
AFCS 1261,Global Caribbean,,,/course-descriptions/afcs/
AFCS 1270,Introduction to Global Health,,,/course-descriptions/afcs/
AFCS 1990,Elective,,,/course-descriptions/afcs/
AFCS 2270,"Race, Ethnicity, and Inequality",,,/course-descriptions/afcs/
AFCS 2296,Early African-American Literature,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2296,Early African-American Literature,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2296,Early African-American Literature,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2296,Early African-American Literature,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2318,New England Stories: Storytelling and the African American Experience,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2318,New England Stories: Storytelling and the African American Experience,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2318,New England Stories: Storytelling and the African American Experience,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2318,New England Stories: Storytelling and the African American Experience,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2325,Black Feminist Studies,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2325,Black Feminist Studies,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2325,Black Feminist Studies,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2325,Black Feminist Studies,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2330,Afro-Latin American Studies,,,/course-descriptions/afcs/
AFCS 2337,African American History Before 1900,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2337,African American History Before 1900,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2337,African American History Before 1900,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2337,African American History Before 1900,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2355,"Race, Identity, Social Change, and Empowerment",ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2355,"Race, Identity, Social Change, and Empowerment",ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2355,"Race, Identity, Social Change, and Empowerment",ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2355,"Race, Identity, Social Change, and Empowerment",ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2380,Black Families and Incarceration,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2380,Black Families and Incarceration,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2380,Black Families and Incarceration,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2380,Black Families and Incarceration,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2390,Africa and the World in Early Times,,,/course-descriptions/afcs/
AFCS 2410,"Possession, Sacrifice, and Divination in African Diasporic Religions",,,/course-descriptions/afcs/
AFCS 2455,American Women Writers,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2455,American Women Writers,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2455,American Women Writers,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2455,American Women Writers,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2600,"Issues in Race, Science, and Technology",,,/course-descriptions/afcs/
AFCS 2618,Community Psychology,,,/course-descriptions/afcs/
AFCS 2619,Race and Religion in Film,,,/course-descriptions/afcs/
AFCS 2690,Boston in Literature,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 2690,Boston in Literature,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 2690,Boston in Literature,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 2690,Boston in Literature,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 2900,"Swahili, Culture, and Politics in Kenya",,,/course-descriptions/afcs/
AFCS 2990,Elective,,,/course-descriptions/afcs/
AFCS 2991,Research Practicum,,,/course-descriptions/afcs/
AFCS 3120,"Race, Crime, and Justice",,,/course-descriptions/afcs/
AFCS 3210,"Black Abolition Studies: Carcerality, Liberation, and Resistance",,,/course-descriptions/afcs/
AFCS 3305,"Beyond the Binary: Race, Sex, and Science",,,/course-descriptions/afcs/
AFCS 3323,"Race, Inequality, and the Law",,,/course-descriptions/afcs/
AFCS 3404,African American Rhetorical Traditions,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 3404,African American Rhetorical Traditions,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 3404,African American Rhetorical Traditions,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 3404,African American Rhetorical Traditions,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 3424,Epidemiology of Pandemic Diseases and Health Disparities in the African Diaspora,,,/course-descriptions/afcs/
AFCS 3512,"Religion, Race, and Politics",,,/course-descriptions/afcs/
AFCS 3664,Black Poetry and the Spoken Word,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 3664,Black Poetry and the Spoken Word,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 3664,Black Poetry and the Spoken Word,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 3664,Black Poetry and the Spoken Word,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 3900,Gender and Black World Literatures,,,/course-descriptions/afcs/
AFCS 3990,Elective,,,/course-descriptions/afcs/
AFCS 4526,Afro-Asian Relations in the Americas,SOCL 1101,https://catalog.northeastern.edu/search/?P=SOCL%201101,/course-descriptions/afcs/
AFCS 4526,Afro-Asian Relations in the Americas,ANTH 1101,https://catalog.northeastern.edu/search/?P=ANTH%201101,/course-descriptions/afcs/
AFCS 4526,Afro-Asian Relations in the Americas,CRIM 1100,https://catalog.northeastern.edu/search/?P=CRIM%201100,/course-descriptions/afcs/
AFCS 4526,Afro-Asian Relations in the Americas,HUSV 1101,https://catalog.northeastern.edu/search/?P=HUSV%201101,/course-descriptions/afcs/
AFCS 4526,Afro-Asian Relations in the Americas,WMNS 1103,https://catalog.northeastern.edu/search/?P=WMNS%201103,/course-descriptions/afcs/
AFCS 4526,Afro-Asian Relations in the Americas,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,/course-descriptions/afcs/
AFCS 4588,Literature in Context,ENGW 1102,https://catalog.northeastern.edu/search/?P=ENGW%201102,/course-descriptions/afcs/
AFCS 4588,Literature in Context,ENGW 1111,https://catalog.northeastern.edu/search/?P=ENGW%201111,/course-descriptions/afcs/
AFCS 4588,Literature in Context,ENGW 1113,https://catalog.northeastern.edu/search/?P=ENGW%201113,/course-descriptions/afcs/
AFCS 4588,Literature in Context,ENGW 1114,https://catalog.northeastern.edu/search/?P=ENGW%201114,/course-descriptions/afcs/
AFCS 4700,Capstone,,,/course-descriptions/afcs/
AFCS 4939,"Community Health, Culture, and Development in Kenya",,,/course-descriptions/afcs/
AFCS 4973,Topics in African American Studies,,,/course-descriptions/afcs/
AFCS 4990,Elective,,,/course-descriptions/afcs/
AFCS 4991,Research,,,/course-descriptions/afcs/
AFCS 4992,Directed Study,,,/course-descriptions/afcs/
AFCS 5001,Special Topics in Race and the Law,,,/course-descriptions/afcs/
AFCS 5544,Seminar in Black Leadership,,,/course-descriptions/afcs/
AFCS 6962,Elective,,,/course-descriptions/afcs/
AFRS 1101,Introduction to African Studies,,,/course-descriptions/afrs/
AFRS 1990,Elective,,,/course-descriptions/afrs/
AFRS 2392,African Diaspora,,,/course-descriptions/afrs/
AFRS 2990,Elective,,,/course-descriptions/afrs/
AFRS 3990,Elective,,,/course-descriptions/afrs/
AFRS 4990,Elective,,,/course-descriptions/afrs/
AFRS 6962,Elective,,,/course-descriptions/afrs/
AMSL 1101,Elementary ASL 1,,,/course-descriptions/amsl/
AMSL 1102,Elementary ASL 2,AMSL 1101,https://catalog.northeastern.edu/search/?P=AMSL%201101,/course-descriptions/amsl/
AMSL 1511,ASL Classifiers,AMSL 1101,https://catalog.northeastern.edu/search/?P=AMSL%201101,/course-descriptions/amsl/
AMSL 1512,ASL Numbers and Fingerspelling,AMSL 1102,https://catalog.northeastern.edu/search/?P=AMSL%201102,/course-descriptions/amsl/
AMSL 1990,Elective,,,/course-descriptions/amsl/
AMSL 2101,Intermediate ASL 1,AMSL 1102,https://catalog.northeastern.edu/search/?P=AMSL%201102,/course-descriptions/amsl/
AMSL 2101,Intermediate ASL 1,DEAF 1500,https://catalog.northeastern.edu/search/?P=DEAF%201500,/course-descriptions/amsl/
AMSL 2102,Intermediate ASL 2,AMSL 2101,https://catalog.northeastern.edu/search/?P=AMSL%202101,/course-descriptions/amsl/
AMSL 2900,Specialized Instruction in ASL,,,/course-descriptions/amsl/
AMSL 2990,Elective,,,/course-descriptions/amsl/
AMSL 3101,Advanced ASL 1,AMSL 2102,https://catalog.northeastern.edu/search/?P=AMSL%202102,/course-descriptions/amsl/
AMSL 3102,Advanced ASL 2,AMSL 3101,https://catalog.northeastern.edu/search/?P=AMSL%203101,/course-descriptions/amsl/
AMSL 3990,Elective,,,/course-descriptions/amsl/
AMSL 4990,Elective,,,/course-descriptions/amsl/
AMSL 4992,Directed Study,,,/course-descriptions/amsl/
AMSL 5901,Gallaudet University Program,,,/course-descriptions/amsl/
ALY 1990,Elective,,,/course-descriptions/aly/
ALY 2010,Probability Theory and Introductory Statistics,MTH 1100,https://catalog.northeastern.edu/search/?P=MTH%201100,/course-descriptions/aly/
ALY 2010,Probability Theory and Introductory Statistics,MTH 1200,https://catalog.northeastern.edu/search/?P=MTH%201200,/course-descriptions/aly/
ALY 2010,Probability Theory and Introductory Statistics,MTH 2100,https://catalog.northeastern.edu/search/?P=MTH%202100,/course-descriptions/aly/
ALY 2100,Introduction to Programming for Data Analytics,MTH 2400,https://catalog.northeastern.edu/search/?P=MTH%202400,/course-descriptions/aly/
ALY 2100,Introduction to Programming for Data Analytics,PHL 2310,https://catalog.northeastern.edu/search/?P=PHL%202310,/course-descriptions/aly/
ALY 2100,Introduction to Programming for Data Analytics,ITC 2300,https://catalog.northeastern.edu/search/?P=ITC%202300,/course-descriptions/aly/
ALY 3015,Intermediate Statistics for Data Analytics,ALY 2010,https://catalog.northeastern.edu/search/?P=ALY%202010,/course-descriptions/aly/
ALY 3040,Data Mining,ALY 2100,https://catalog.northeastern.edu/search/?P=ALY%202100,/course-descriptions/aly/
ALY 3040,Data Mining,ALY 3015,https://catalog.northeastern.edu/search/?P=ALY%203015,/course-descriptions/aly/
ALY 3070,Communication and Visualization for Data Analytics,ALY 2100,https://catalog.northeastern.edu/search/?P=ALY%202100,/course-descriptions/aly/
ALY 3070,Communication and Visualization for Data Analytics,ALY 3015,https://catalog.northeastern.edu/search/?P=ALY%203015,/course-descriptions/aly/
ALY 3110,Big Data and Web Mining,ALY 2100,https://catalog.northeastern.edu/search/?P=ALY%202100,/course-descriptions/aly/
ALY 3110,Big Data and Web Mining,ALY 3015,https://catalog.northeastern.edu/search/?P=ALY%203015,/course-descriptions/aly/
ALY 4000,Analytics Using R,ALY 2010,https://catalog.northeastern.edu/search/?P=ALY%202010,/course-descriptions/aly/
ALY 4000,Analytics Using R,ITC 2300,https://catalog.northeastern.edu/search/?P=ITC%202300,/course-descriptions/aly/
ALY 4020,Predictive Analytics Using R and Python,ALY 2100,https://catalog.northeastern.edu/search/?P=ALY%202100,/course-descriptions/aly/
ALY 4020,Predictive Analytics Using R and Python,ALY 3015,https://catalog.northeastern.edu/search/?P=ALY%203015,/course-descriptions/aly/
ALY 4020,Predictive Analytics Using R and Python,ALY 3040,https://catalog.northeastern.edu/search/?P=ALY%203040,/course-descriptions/aly/
ALY 4850,Analytics Capstone,ALY 3040,https://catalog.northeastern.edu/search/?P=ALY%203040,/course-descriptions/aly/
ALY 4850,Analytics Capstone,ALY 3070,https://catalog.northeastern.edu/search/?P=ALY%203070,/course-descriptions/aly/
ALY 4850,Analytics Capstone,ALY 4000,https://catalog.northeastern.edu/search/?P=ALY%204000,/course-descriptions/aly/
ALY 5000,Introduction to Analytics,,,/course-descriptions/aly/
ALY 5010,Probability Theory and Introductory Statistics,,,/course-descriptions/aly/
ALY 5015,Intermediate Analytics,,,/course-descriptions/aly/
ALY 5030,Data Warehousing and SQL,,,/course-descriptions/aly/
ALY 5040,Data Mining Applications,,,/course-descriptions/aly/
ALY 5050,Introduction to Enterprise Analytics,,,/course-descriptions/aly/
ALY 5070,Communication and Visualization for Data Analytics,,,/course-descriptions/aly/
ALY 5110,Data Management and Big Data,,,/course-descriptions/aly/
ALY 6000,Introduction to Analytics,,,/course-descriptions/aly/
ALY 6010,Probability Theory and Introductory Statistics,ALY 6000,https://catalog.northeastern.edu/search/?P=ALY%206000,/course-descriptions/aly/
ALY 6015,Intermediate Analytics,ALY 6000,https://catalog.northeastern.edu/search/?P=ALY%206000,/course-descriptions/aly/
ALY 6015,Intermediate Analytics,ALY 6010,https://catalog.northeastern.edu/search/?P=ALY%206010,/course-descriptions/aly/
ALY 6020,Predictive Analytics,ALY 6015,https://catalog.northeastern.edu/search/?P=ALY%206015,/course-descriptions/aly/
ALY 6020,Predictive Analytics,ALY 6070,https://catalog.northeastern.edu/search/?P=ALY%206070,/course-descriptions/aly/
ALY 6030,Data Warehousing and SQL,ALY 6000,https://catalog.northeastern.edu/search/?P=ALY%206000,/course-descriptions/aly/
ALY 6030,Data Warehousing and SQL,ALY 6015,https://catalog.northeastern.edu/search/?P=ALY%206015,/course-descriptions/aly/
ALY 6040,Data Mining Applications,ALY 6000,https://catalog.northeastern.edu/search/?P=ALY%206000,/course-descriptions/aly/
ALY 6040,Data Mining Applications,ALY 6010,https://catalog.northeastern.edu/search/?P=ALY%206010,/course-descriptions/aly/
ALY 6040,Data Mining Applications,EAI 6000,https://catalog.northeastern.edu/search/?P=EAI%206000,/course-descriptions/aly/
ALY 6040,Data Mining Applications,EAI 6010,https://catalog.northeastern.edu/search/?P=EAI%206010,/course-descriptions/aly/
ALY 6050,Introduction to Enterprise Analytics,ALY 6000,https://catalog.northeastern.edu/search/?P=ALY%206000,/course-descriptions/aly/
ALY 6050,Introduction to Enterprise Analytics,ALY 6010,https://catalog.northeastern.edu/search/?P=ALY%206010,/course-descriptions/aly/
